service_date,service_hour,dong_name,included_in_3d_map,day_type,living_population,temperature,rain,business_total,subway_daily_alight,traffic_speed,traffic_congestion,transit_pressure,subway_pressure,hourly_raw_score,hourly_relative_demand
20260307,12,삼성1동,1,weekday,46366.7781,3.0,0.0,3259.0,6100.07,21.0,0.047619047619047616,4489.387,4968.0,0.26104625,0.08343586
20260307,12,삼성2동,1,weekday,33241.4033,3.0,0.0,3595.0,5975.2,20.2,0.04950495049504951,2162.935,14773.872,0.28172592,0.09004551
20260307,12,신사동,1,weekday,45119.1095,3.0,0.0,5409.0,3928.47,19.8,0.050505050505050504,805.129,4835.87,0.21098656,0.06743573
20260307,12,압구정동,0,weekday,52569.0838,3.0,0.0,4304.0,6131.67,18.2,0.054945054945054944,5328.161,10132.386,0.42018157,0.13429884
20260307,12,역삼1동,1,weekday,99434.4374,3.0,0.0,13420.0,13955.0,21.8,0.04587155963302752,10415.645,19698.13,0.85180511,0.27225478
20260307,12,역삼2동,1,weekday,40780.266149999996,3.0,0.0,3555.0,0.0,21.6,0.046296296296296294,1112.29,0.0,0.06813179,0.02177635
20260307,12,청담동,1,weekday,51443.929,3.0,0.0,4760.0,1579.73,20.3,0.04926108374384236,1174.29,2960.838,0.18206331,0.05819125
20260307,13,논현1동,1,weekday,40018.3095,4.7,0.0,5187.0,5978.13,21.3,0.046948356807511735,6975.355,9462.71,0.32612349,0.10398284
20260307,13,논현2동,1,weekday,47314.4204,4.7,0.0,5294.0,2130.07,22.0,0.045454545454545456,3976.484,10634.258,0.25818828,0.08232204
20260307,13,대치4동,1,weekday,55884.3537,4.7,0.0,3868.0,2216.8,19.3,0.05181347150259067,5418.226,3649.548,0.27923633,0.0890331
20260307,13,삼성1동,1,weekday,49946.1086,4.7,0.0,3259.0,6309.53,20.6,0.04854368932038835,4669.226,5567.612,0.26663993,0.0850168
20260307,13,삼성2동,1,weekday,32815.0076,4.7,0.0,3595.0,6805.4,19.8,0.050505050505050504,2253.419,16376.002,0.27670287,0.08822532
20260307,13,신사동,1,weekday,47124.918,4.7,0.0,5409.0,4348.27,19.2,0.052083333333333336,869.129,5464.258,0.21451909,0.06839834
20260307,13,압구정동,0,weekday,54668.1365,4.7,0.0,4304.0,6155.13,17.2,0.05813953488372093,5592.161,10747.548,0.41137485,0.13116481
20260307,13,역삼1동,1,weekday,104051.1581,4.7,0.0,13420.0,15567.13,21.3,0.046948356807511735,10873.194,22544.644,0.85942097,0.27402206
20260307,13,역삼2동,1,weekday,40000.26935,4.7,0.0,3555.0,0.0,21.2,0.04716981132075472,1167.613,0.0,0.07045366,0.0224638
20260307,13,청담동,1,weekday,51559.1697,4.7,0.0,4760.0,1685.4,20.0,0.05,1236.806,3043.484,0.17366089,0.0553709
20260307,14,논현1동,1,weekday,39997.5906,5.0,0.0,5187.0,5759.07,20.7,0.04830917874396135,7077.484,9743.032,0.3050926,0.10741122
20260307,14,논현2동,1,weekday,46831.2291,5.0,0.0,5294.0,1620.27,20.9,0.04784688995215311,3948.129,10467.034,0.22765864,0.08014974
20260307,14,대치4동,1,weekday,55815.405,5.0,0.0,3868.0,1664.47,18.9,0.052910052910052914,5338.032,3071.612,0.23732587,0.0835532
20260307,14,삼성1동,1,weekday,51827.0102,5.0,0.0,3259.0,5419.33,19.9,0.05025125628140704,4815.226,5571.806,0.2448923,0.08621704
20260307,14,삼성2동,1,weekday,32196.1851,5.0,0.0,3595.0,5359.33,18.8,0.05319148936170213,2230.935,15913.614,0.24242333,0.08534782
20260307,14,신사동,1,weekday,47473.6527,5.0,0.0,5409.0,3916.53,19.0,0.05263157894736842,915.677,5495.742,0.18004994,0.06338857
