month,station_name,line_name,dong_name,transit_dong_code,included_in_3d_map,service_hour,monthly_get_on,monthly_get_off,daily_avg_get_on,daily_avg_get_off,daily_avg_station_pressure
202603,강남,2호선,역삼1동,11230640,1,13,109013,123519,3516.548,3984.484,7501.032
202603,강남,2호선,역삼1동,11230640,1,14,122387,114858,3947.968,3705.097,7653.065
202603,강남,2호선,역삼1동,11230640,1,15,149297,108280,4816.032,3492.903,8308.935
202603,강남,2호선,역삼1동,11230640,1,16,175405,118804,5658.226,3832.387,9490.613
202603,강남,2호선,역삼1동,11230640,1,17,265958,152137,8579.29,4907.645,13486.935
202603,강남,2호선,역삼1동,11230640,1,18,339244,185953,10943.355,5998.484,16941.839
202603,강남,2호선,역삼1동,11230640,1,19,234569,110807,7566.742,3574.419,11141.161
202603,강남,2호선,역삼1동,11230640,1,20,181889,65110,5867.387,2100.323,7967.71
202603,강남,2호선,역삼1동,11230640,1,21,194708,52482,6280.903,1692.968,7973.871
202603,강남,2호선,역삼1동,11230640,1,22,166832,41839,5381.677,1349.645,6731.323
202603,강남,2호선,역삼1동,11230640,1,23,74458,23166,2401.871,747.29,3149.161
202603,압구정,3호선,압구정동,11230770,0,0,1698,2113,54.774,68.161,122.935
202603,압구정,3호선,압구정동,11230770,0,1,3,225,0.097,7.258,7.355
202603,압구정,3호선,압구정동,11230770,0,2,0,0,0.0,0.0,0.0
202603,압구정,3호선,압구정동,11230770,0,3,0,0,0.0,0.0,0.0
202603,압구정,3호선,압구정동,11230770,0,4,63,3,2.032,0.097,2.129
202603,압구정,3호선,압구정동,11230770,0,5,3260,2511,105.161,81.0,186.161
202603,압구정,3호선,압구정동,11230770,0,6,8584,24996,276.903,806.323,1083.226
202603,압구정,3호선,압구정동,11230770,0,7,18219,50821,587.71,1639.387,2227.097
202603,압구정,3호선,압구정동,11230770,0,8,27027,143130,871.839,4617.097,5488.935
202603,압구정,3호선,압구정동,11230770,0,9,23020,152923,742.581,4933.0,5675.581
202603,압구정,3호선,압구정동,11230770,0,10,28352,84665,914.581,2731.129,3645.71
202603,압구정,3호선,압구정동,11230770,0,11,34373,70200,1108.806,2264.516,3373.323
202603,압구정,3호선,압구정동,11230770,0,12,42752,56116,1379.097,1810.194,3189.29
202603,압구정,3호선,압구정동,11230770,0,13,48307,57377,1558.29,1850.871,3409.161
202603,압구정,3호선,압구정동,11230770,0,14,59721,53095,1926.484,1712.742,3639.226
202603,압구정,3호선,압구정동,11230770,0,15,69410,51527,2239.032,1662.161,3901.194
202603,압구정,3호선,압구정동,11230770,0,16,77389,50674,2496.419,1634.645,4131.065
202603,압구정,3호선,압구정동,11230770,0,17,99517,59000,3210.226,1903.226,5113.452
202603,압구정,3호선,압구정동,11230770,0,18,133353,58462,4301.71,1885.871,6187.581
202603,압구정,3호선,압구정동,11230770,0,19,94152,34435,3037.161,1110.806,4147.968
202603,압구정,3호선,압구정동,11230770,0,20,76180,18923,2457.419,610.419,3067.839
202603,압구정,3호선,압구정동,11230770,0,21,52305,15016,1687.258,484.387,2171.645
202603,압구정,3호선,압구정동,11230770,0,22,33999,11520,1096.742,371.613,1468.355
202603,압구정,3호선,압구정동,11230770,0,23,10452,6023,337.161,194.29,531.452
202603,신사,3호선,신사동,11230510,1,0,2604,2951,84.0,95.194,179.194
202603,신사,3호선,신사동,11230510,1,1,0,2,0.0,0.065,0.065
202603,신사,3호선,신사동,11230510,1,2,0,0,0.0,0.0,0.0
202603,신사,3호선,신사동,11230510,1,3,0,0,0.0,0.0,0.0
202603,신사,3호선,신사동,11230510,1,4,35,6,1.129,0.194,1.323
202603,신사,3호선,신사동,11230510,1,5,3153,1807,101.71,58.29,160.0
202603,신사,3호선,신사동,11230510,1,6,6444,17011,207.871,548.742,756.613
202603,신사,3호선,신사동,11230510,1,7,12637,44135,407.645,1423.71,1831.355
