service_date,service_hour,dong_name,transit_dong_code,included_in_3d_map,transit_inbound,transit_outbound,transit_internal,transit_pressure
20260329,8,논현1동,11230520,1,1506,1292,131,2667
20260329,8,논현2동,11230530,1,1390,447,75,1762
20260329,8,삼성1동,11230580,1,2203,456,80,2579
20260329,8,삼성2동,11230590,1,595,412,120,887
20260329,8,대치4동,11230630,1,1492,613,85,2020
20260329,8,역삼1동,11230640,1,3081,1769,329,4521
20260329,8,역삼2동,11230650,1,301,300,93,508
20260329,8,압구정동,11230770,0,2734,615,96,3253
20260329,8,청담동,11230780,1,730,245,92,883
20260329,9,신사동,11230510,1,308,139,48,399
20260329,9,논현1동,11230520,1,2368,1866,190,4044
20260329,9,논현2동,11230530,1,2019,647,130,2536
20260329,9,삼성1동,11230580,1,3032,685,131,3586
20260329,9,삼성2동,11230590,1,724,605,189,1140
20260329,9,대치4동,11230630,1,1854,828,144,2538
20260329,9,역삼1동,11230640,1,3944,2667,558,6053
20260329,9,역삼2동,11230650,1,418,449,139,728
20260329,9,압구정동,11230770,0,3267,751,114,3904
20260329,9,청담동,11230780,1,865,366,143,1088
20260329,10,신사동,11230510,1,421,250,90,581
20260329,10,논현1동,11230520,1,2406,2308,261,4453
20260329,10,논현2동,11230530,1,1843,708,160,2391
20260329,10,삼성1동,11230580,1,3604,954,214,4344
20260329,10,삼성2동,11230590,1,893,733,249,1377
20260329,10,대치4동,11230630,1,1511,1020,165,2366
20260329,10,역삼1동,11230640,1,4358,3686,733,7311
20260329,10,역삼2동,11230650,1,459,507,179,787
20260329,10,압구정동,11230770,0,3539,1318,225,4632
20260329,10,청담동,11230780,1,698,460,216,942
20260329,11,신사동,11230510,1,430,277,90,617
20260329,11,논현1동,11230520,1,2619,2535,271,4883
20260329,11,논현2동,11230530,1,1774,931,181,2524
20260329,11,삼성1동,11230580,1,3403,1343,211,4535
20260329,11,삼성2동,11230590,1,898,737,232,1403
20260329,11,대치4동,11230630,1,1654,1211,210,2655
20260329,11,역삼1동,11230640,1,4394,4046,783,7657
20260329,11,역삼2동,11230650,1,468,579,209,838
20260329,11,압구정동,11230770,0,2895,1315,193,4017
20260329,11,청담동,11230780,1,587,555,213,929
20260329,12,신사동,11230510,1,561,540,139,962
20260329,12,논현1동,11230520,1,2685,2962,287,5360
20260329,12,논현2동,11230530,1,1903,1140,176,2867
20260329,12,삼성1동,11230580,1,3242,2233,364,5111
20260329,12,삼성2동,11230590,1,951,918,279,1590
20260329,12,대치4동,11230630,1,2189,1699,302,3586
20260329,12,역삼1동,11230640,1,4843,5324,887,9280
20260329,12,역삼2동,11230650,1,599,745,241,1103
20260329,12,압구정동,11230770,0,2931,2306,346,4891
20260329,12,청담동,11230780,1,654,718,268,1104
20260329,13,신사동,11230510,1,562,456,124,894
20260329,13,논현1동,11230520,1,2571,3432,292,5711
20260329,13,논현2동,11230530,1,1755,1655,260,3150
20260329,13,삼성1동,11230580,1,3457,2550,474,5533
20260329,13,삼성2동,11230590,1,981,1055,311,1725
20260329,13,대치4동,11230630,1,2227,2007,381,3853
20260329,13,역삼1동,11230640,1,4840,5714,959,9595
20260329,13,역삼2동,11230650,1,595,815,250,1160
20260329,13,압구정동,11230770,0,2654,2526,388,4792
20260329,13,청담동,11230780,1,666,746,279,1133
20260329,14,신사동,11230510,1,574,498,120,952
20260329,14,논현1동,11230520,1,2215,3642,361,5496
20260329,14,논현2동,11230530,1,1468,1545,220,2793
20260329,14,삼성1동,11230580,1,2900,3349,530,5719
20260329,14,삼성2동,11230590,1,978,928,250,1656
20260329,14,대치4동,11230630,1,1689,1936,275,3350
20260329,14,역삼1동,11230640,1,4251,6081,918,9414
20260329,14,역삼2동,11230650,1,477,662,193,946
20260329,14,압구정동,11230770,0,2440,2740,401,4779
20260329,14,청담동,11230780,1,567,698,211,1054
20260329,15,신사동,11230510,1,599,563,117,1045
20260329,15,논현1동,11230520,1,2230,3700,373,5557
20260329,15,논현2동,11230530,1,1244,1790,261,2773
20260329,15,삼성1동,11230580,1,2435,3411,565,5281
20260329,15,삼성2동,11230590,1,881,1070,293,1658
20260329,15,대치4동,11230630,1,1480,1995,259,3216
20260329,15,역삼1동,11230640,1,4090,6027,833,9284
20260329,15,역삼2동,11230650,1,571,611,170,1012
20260329,15,압구정동,11230770,0,2371,3013,429,4955
20260329,15,청담동,11230780,1,573,696,207,1062
20260329,16,신사동,11230510,1,570,578,132,1016
20260329,16,논현1동,11230520,1,2335,4006,319,6022
20260329,16,논현2동,11230530,1,1179,1844,244,2779
20260329,16,삼성1동,11230580,1,1948,3689,595,5042
20260329,16,삼성2동,11230590,1,891,1044,258,1677
20260329,16,대치4동,11230630,1,1640,2088,261,3467
20260329,16,역삼1동,11230640,1,4218,6065,851,9432
